"subid"	"phase"	"movieOrder"	"movieName"	"grain"	"movieStartTime"	"keypressed"	"bpTime"	"movieDuration"	"condition"	"clipNo"	"movName"	"bpTime.series"	"totalMovieDur"	"grainorder"	"include"
"127"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	15.4593	NA	"Uninterrupted"	"10"	"3Iron"	557.5009	589.3222	1	1
"128"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	22.605	NA	"Uninterrupted"	"10"	"3Iron"	564.6466	589.3222	1	1
"129"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	29.2437	NA	"Uninterrupted"	"10"	"3Iron"	571.2853	589.3222	1	1
"130"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	32.6464	NA	"Uninterrupted"	"10"	"3Iron"	574.688	589.3222	1	1
"131"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	39.1186	NA	"Uninterrupted"	"10"	"3Iron"	581.1602	589.3222	1	1
"132"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	45.6947	NA	"Uninterrupted"	"10"	"3Iron"	587.7363	589.3222	1	1
"133"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	4.0406	NA	"Uninterrupted"	"1"	"Corn"	4.0406	588.688	1	1
"134"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	8.8459	NA	"Uninterrupted"	"1"	"Corn"	8.8459	588.688	1	1
"135"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	13.0751	NA	"Uninterrupted"	"1"	"Corn"	13.0751	588.688	1	1
"136"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	19.4152	NA	"Uninterrupted"	"1"	"Corn"	19.4152	588.688	1	1
"137"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	32.3384	NA	"Uninterrupted"	"1"	"Corn"	32.3384	588.688	1	1
"138"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	44.3102	NA	"Uninterrupted"	"1"	"Corn"	44.3102	588.688	1	1
"139"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	53.2544	NA	"Uninterrupted"	"1"	"Corn"	53.2544	588.688	1	1
"140"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	0.329000000000001	NA	"Uninterrupted"	"2"	"Corn"	60.4557	588.688	1	1
"141"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	10.8494	NA	"Uninterrupted"	"2"	"Corn"	70.9761	588.688	1	1
"142"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	28.9253	NA	"Uninterrupted"	"2"	"Corn"	89.052	588.688	1	1
"143"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	37.6058	NA	"Uninterrupted"	"2"	"Corn"	97.7325	588.688	1	1
"144"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	43.5431	NA	"Uninterrupted"	"2"	"Corn"	103.6698	588.688	1	1
"145"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	46.5847	NA	"Uninterrupted"	"2"	"Corn"	106.7114	588.688	1	1
"146"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	51.9248	NA	"Uninterrupted"	"2"	"Corn"	112.0515	588.688	1	1
"147"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	55.8553	NA	"Uninterrupted"	"2"	"Corn"	115.982	588.688	1	1
"148"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	1.93810000000001	NA	"Uninterrupted"	"3"	"Corn"	122.2249	588.688	1	1
"149"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	7.11150000000001	NA	"Uninterrupted"	"3"	"Corn"	127.3983	588.688	1	1
"150"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	24.0902	NA	"Uninterrupted"	"3"	"Corn"	144.377	588.688	1	1
"151"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	27.8608	NA	"Uninterrupted"	"3"	"Corn"	148.1476	588.688	1	1
"152"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	36.6314	NA	"Uninterrupted"	"3"	"Corn"	156.9182	588.688	1	1
"153"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	40.9091	NA	"Uninterrupted"	"3"	"Corn"	161.1959	588.688	1	1
"154"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	55.6934	NA	"Uninterrupted"	"3"	"Corn"	175.9802	588.688	1	1
"155"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	59.3947	NA	"Uninterrupted"	"3"	"Corn"	179.6815	588.688	1	1
"156"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	11.8523	NA	"Uninterrupted"	"4"	"Corn"	192.2992	588.688	1	1
"157"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	19.38	NA	"Uninterrupted"	"4"	"Corn"	199.8269	588.688	1	1
"158"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	26.1297	NA	"Uninterrupted"	"4"	"Corn"	206.5766	588.688	1	1
"159"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	31.2962	NA	"Uninterrupted"	"4"	"Corn"	211.7431	588.688	1	1
"160"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	38.6295	NA	"Uninterrupted"	"4"	"Corn"	219.0764	588.688	1	1
"161"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	41.046	NA	"Uninterrupted"	"4"	"Corn"	221.4929	588.688	1	1
"162"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	43.8724	NA	"Uninterrupted"	"4"	"Corn"	224.3193	588.688	1	1
"163"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	45.6432	NA	"Uninterrupted"	"4"	"Corn"	226.0901	588.688	1	1
"164"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	47.7472	NA	"Uninterrupted"	"4"	"Corn"	228.1941	588.688	1	1
"165"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	49.5458	NA	"Uninterrupted"	"4"	"Corn"	229.9927	588.688	1	1
"166"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	56.8928	NA	"Uninterrupted"	"4"	"Corn"	237.3397	588.688	1	1
"167"	2	1	2	"Corn Island_10Min.mp4"	"f"	1.4441	"space"	1.1326	NA	"Uninterrupted"	"5"	"Corn"	241.6729	588.688	1	1
