"subid"	"condition"	"grain"	"movName"	"clipNo"	"bpTime.series"
"293"	"48334"	"Uninterrupted"	"f"	"iron"	1	15.785700000003
"294"	"48334"	"Uninterrupted"	"f"	"iron"	1	21.6508000000119
"295"	"48334"	"Uninterrupted"	"f"	"iron"	1	28.507200000003
"296"	"48334"	"Uninterrupted"	"f"	"iron"	1	30.4328000000119
"297"	"48334"	"Uninterrupted"	"f"	"iron"	1	39.884
"298"	"48334"	"Uninterrupted"	"f"	"iron"	1	46.158900000006
"299"	"48334"	"Uninterrupted"	"f"	"iron"	1	55.777700000003
"300"	"48334"	"Uninterrupted"	"f"	"iron"	1	70.801900000006
"301"	"48334"	"Uninterrupted"	"f"	"iron"	1	75.774700000003
"302"	"48334"	"Uninterrupted"	"f"	"iron"	1	85.201200000003
"303"	"48334"	"Uninterrupted"	"f"	"iron"	1	96.305700000003
"304"	"48334"	"Uninterrupted"	"f"	"iron"	1	102.065400000006
"305"	"48334"	"Uninterrupted"	"f"	"iron"	1	111.842800000012
"306"	"48334"	"Uninterrupted"	"f"	"iron"	1	118.594900000006
"307"	"48334"	"Uninterrupted"	"f"	"iron"	1	124.623100000009
"308"	"48334"	"Uninterrupted"	"f"	"iron"	1	132.474600000009
"309"	"48334"	"Uninterrupted"	"f"	"iron"	1	139.814400000006
"310"	"48334"	"Uninterrupted"	"f"	"iron"	1	148.802
"311"	"48334"	"Uninterrupted"	"f"	"iron"	1	157.921900000006
"312"	"48334"	"Uninterrupted"	"f"	"iron"	1	178.744200000003
"313"	"48334"	"Uninterrupted"	"f"	"iron"	1	192.251600000009
"314"	"48334"	"Uninterrupted"	"f"	"iron"	1	201.442200000003
"315"	"48334"	"Uninterrupted"	"f"	"iron"	1	216.026200000003
"316"	"48334"	"Uninterrupted"	"f"	"iron"	1	221.524400000006
"317"	"48334"	"Uninterrupted"	"f"	"iron"	1	243.496900000006
"318"	"48334"	"Uninterrupted"	"f"	"iron"	1	256.229400000006
"319"	"48334"	"Uninterrupted"	"f"	"iron"	1	264.557
"320"	"48334"	"Uninterrupted"	"f"	"iron"	1	308.701200000003
"321"	"48334"	"Uninterrupted"	"f"	"iron"	1	322.163200000003
"322"	"48334"	"Uninterrupted"	"f"	"iron"	1	343.147
"323"	"48334"	"Uninterrupted"	"f"	"iron"	1	370.9635
"324"	"48334"	"Uninterrupted"	"f"	"iron"	1	381.906600000009
"325"	"48334"	"Uninterrupted"	"f"	"iron"	1	395.709700000003
"326"	"48334"	"Uninterrupted"	"f"	"iron"	1	406.696700000003
"327"	"48334"	"Uninterrupted"	"f"	"iron"	1	424.517400000006
"328"	"48334"	"Uninterrupted"	"f"	"iron"	1	446.157600000009
"329"	"48334"	"Uninterrupted"	"f"	"iron"	1	468.856200000003
"330"	"48334"	"Uninterrupted"	"f"	"iron"	1	488.7095
"331"	"48334"	"Uninterrupted"	"f"	"iron"	1	496.415200000003
"332"	"48334"	"Uninterrupted"	"f"	"iron"	1	514.707400000006
"333"	"48334"	"Uninterrupted"	"f"	"iron"	1	535.942400000006
"334"	"48334"	"Uninterrupted"	"f"	"iron"	1	544.772300000012
"335"	"48334"	"Uninterrupted"	"f"	"iron"	1	550.8115
"336"	"48334"	"Uninterrupted"	"f"	"iron"	1	569.7485
"337"	"48334"	"Uninterrupted"	"f"	"iron"	1	585.132600000009
"338"	"48334"	"Uninterrupted"	"f"	"iron"	1	589.925100000009
"339"	"49546"	"Uninterrupted"	"f"	"prac"	1	8.05010000002384
"340"	"49546"	"Uninterrupted"	"f"	"prac"	1	16.6302999999523
"341"	"49546"	"Uninterrupted"	"f"	"prac"	1	19.7681000000238
"342"	"49546"	"Uninterrupted"	"f"	"prac"	1	23.7315
"343"	"49546"	"Uninterrupted"	"f"	"prac"	1	26.8988999999762
"344"	"49546"	"Uninterrupted"	"f"	"prac"	1	29.8777000000477
"345"	"49546"	"Uninterrupted"	"f"	"prac"	1	33.6353999999762
"346"	"49546"	"Uninterrupted"	"f"	"prac"	1	41.0536000000238
"347"	"49546"	"Uninterrupted"	"f"	"prac"	1	44.499
"348"	"49546"	"Uninterrupted"	"f"	"prac"	1	47.4266000000238
"349"	"49546"	"Uninterrupted"	"f"	"prac"	1	55.6637000000477
"350"	"49546"	"Uninterrupted"	"f"	"prac"	1	57.3837000000477
"351"	"49546"	"Uninterrupted"	"f"	"prac"	1	73.6475
"352"	"49546"	"Uninterrupted"	"f"	"prac"	1	76.4326000000238
"353"	"49546"	"Uninterrupted"	"f"	"prac"	1	80.3775
"354"	"49546"	"Uninterrupted"	"f"	"prac"	1	83.8155
"355"	"49546"	"Uninterrupted"	"f"	"corn"	1	4.25740000009537
"356"	"49546"	"Uninterrupted"	"f"	"corn"	1	13.921
"357"	"49546"	"Uninterrupted"	"f"	"corn"	1	21.9214000000954
"358"	"49546"	"Uninterrupted"	"f"	"corn"	1	23.7059000000954
"359"	"49546"	"Uninterrupted"	"f"	"corn"	1	25.149
"360"	"49546"	"Uninterrupted"	"f"	"corn"	1	29.2917000000477
"361"	"49546"	"Uninterrupted"	"f"	"corn"	1	32.8938000000715
"362"	"49546"	"Uninterrupted"	"f"	"corn"	1	39.8875
"363"	"49546"	"Uninterrupted"	"f"	"corn"	1	45.2478000000715
"364"	"49546"	"Uninterrupted"	"f"	"corn"	1	54.0616000000238
"365"	"49546"	"Uninterrupted"	"f"	"corn"	1	60.9252000000477
"366"	"49546"	"Uninterrupted"	"f"	"corn"	1	64.1953000000715
"367"	"49546"	"Uninterrupted"	"f"	"corn"	1	70.0079000000954
