pseudo_subid,exp_subid,condition,movName,eventNo,separated,recall
62,2,Jumbled,3Iron,10,TRUE,0
62,2,Jumbled,3Iron,11,FALSE,0
62,2,Jumbled,3Iron,12,FALSE,0
62,2,Jumbled,3Iron,13,FALSE,0
62,2,Jumbled,3Iron,14,FALSE,0
62,2,Jumbled,3Iron,15,FALSE,0
62,2,Jumbled,3Iron,16,FALSE,0
62,2,Jumbled,3Iron,17,FALSE,0
62,2,Jumbled,3Iron,18,FALSE,0
62,2,Jumbled,3Iron,19,FALSE,0
62,2,Jumbled,3Iron,20,FALSE,0
62,2,Jumbled,3Iron,21,FALSE,0
62,2,Jumbled,3Iron,22,TRUE,0
62,2,Jumbled,3Iron,23,FALSE,0
62,2,Jumbled,3Iron,24,FALSE,0
62,2,Jumbled,3Iron,25,FALSE,0
62,2,Jumbled,3Iron,26,FALSE,0
62,2,Jumbled,3Iron,27,FALSE,0
62,2,Jumbled,3Iron,28,FALSE,0
62,2,Jumbled,3Iron,29,FALSE,0
62,2,Jumbled,3Iron,30,TRUE,0
62,2,Jumbled,3Iron,31,FALSE,1
62,2,Jumbled,3Iron,32,FALSE,0
62,2,Jumbled,3Iron,33,FALSE,0
62,2,Jumbled,3Iron,34,FALSE,0
62,2,Jumbled,3Iron,35,FALSE,1
62,2,Jumbled,3Iron,36,FALSE,0
62,2,Jumbled,3Iron,37,FALSE,0
62,2,Jumbled,3Iron,38,TRUE,1
62,2,Jumbled,3Iron,39,FALSE,0
62,2,Jumbled,3Iron,40,FALSE,0
62,2,Jumbled,3Iron,41,FALSE,1
62,2,Jumbled,3Iron,42,FALSE,0
62,2,Jumbled,3Iron,43,TRUE,0
62,2,Jumbled,3Iron,44,FALSE,0
62,2,Jumbled,3Iron,45,FALSE,0
62,2,Jumbled,3Iron,46,FALSE,0
62,2,Jumbled,3Iron,47,FALSE,0
62,2,Jumbled,3Iron,48,FALSE,0
62,2,Jumbled,3Iron,49,FALSE,0
62,2,Jumbled,3Iron,50,TRUE,0
62,2,Jumbled,3Iron,51,FALSE,0
62,2,Jumbled,3Iron,52,FALSE,1
62,2,Jumbled,3Iron,53,FALSE,0
62,2,Jumbled,3Iron,54,FALSE,0
62,2,Jumbled,3Iron,55,FALSE,0
62,2,Jumbled,3Iron,56,FALSE,0
62,2,Jumbled,3Iron,57,FALSE,0
62,2,Jumbled,3Iron,58,TRUE,1
62,2,Jumbled,3Iron,59,FALSE,0
62,2,Jumbled,3Iron,60,FALSE,0
62,2,Jumbled,3Iron,61,FALSE,0
