"pseudo_subid","exp_subid","exp_cond","movieName","recalled_eventNo","precision","condition","movName"
13,48,"jumbled","iron",58,0.515456801280379,"Jumbled","3Iron"
13,48,"jumbled","iron",41,0.751816838979721,"Jumbled","3Iron"
13,48,"jumbled","iron",35,0.77997350692749,"Jumbled","3Iron"
13,48,"jumbled","iron",10,0.738500773906708,"Jumbled","3Iron"
13,48,"jumbled","iron",9,0.717972874641418,"Jumbled","3Iron"
13,48,"jumbled","iron",36,0.784386783838272,"Jumbled","3Iron"
13,48,"jumbled","iron",68,0.59903360158205,"Jumbled","3Iron"
13,48,"jumbled","iron",52,0.846306324005127,"Jumbled","3Iron"
13,48,"jumbled","iron",12,0.692166209220886,"Jumbled","3Iron"
13,48,"jumbled","iron",66,0.604116976261139,"Jumbled","3Iron"
13,48,"jumbled","iron",49,0.622474573552608,"Jumbled","3Iron"
13,48,"jumbled","iron",22,0.72401262819767,"Jumbled","3Iron"
13,48,"jumbled","iron",74,0.812961876392365,"Jumbled","3Iron"
13,48,"jumbled","iron",35,0.767824500799179,"Jumbled","3Iron"
13,48,"jumbled","iron",32,0.68829146027565,"Jumbled","3Iron"
13,48,"jumbled","iron",37,0.605594918131828,"Jumbled","3Iron"
13,48,"jumbled","iron",45,0.843366742134094,"Jumbled","3Iron"
13,48,"jumbled","iron",44,0.696799829602242,"Jumbled","3Iron"
63,47,"ordered","iron",2,0.779131531715393,"Interrupted","3Iron"
63,47,"ordered","iron",6,0.687578350305557,"Interrupted","3Iron"
63,47,"ordered","iron",7,0.692496120929718,"Interrupted","3Iron"
63,47,"ordered","iron",26,0.564742855727673,"Interrupted","3Iron"
63,47,"ordered","iron",51,0.602201834321022,"Interrupted","3Iron"
63,47,"ordered","iron",10,0.655209064483643,"Interrupted","3Iron"
63,47,"ordered","iron",37,0.66397500038147,"Interrupted","3Iron"
63,47,"ordered","iron",38,0.774350702762604,"Interrupted","3Iron"
63,47,"ordered","iron",41,0.715225875377655,"Interrupted","3Iron"
63,47,"ordered","iron",42,0.765218019485474,"Interrupted","3Iron"
63,47,"ordered","iron",50,0.517581593245268,"Interrupted","3Iron"
63,47,"ordered","iron",51,0.638601914048195,"Interrupted","3Iron"
63,47,"ordered","iron",63,0.788531452417374,"Interrupted","3Iron"
63,47,"ordered","iron",56,0.747942790389061,"Interrupted","3Iron"
63,47,"ordered","iron",44,0.619973048567772,"Interrupted","3Iron"
63,47,"ordered","iron",45,0.849028050899506,"Interrupted","3Iron"
63,47,"ordered","iron",46,0.858477532863617,"Interrupted","3Iron"
63,47,"ordered","iron",47,0.587908178567886,"Interrupted","3Iron"
63,47,"ordered","iron",43,0.663734555244446,"Interrupted","3Iron"
63,47,"ordered","iron",66,0.586715161800385,"Interrupted","3Iron"
63,47,"ordered","iron",74,0.58038966357708,"Interrupted","3Iron"
82,28,"jumbled","iron",59,0.541297055780888,"Jumbled","3Iron"
82,28,"jumbled","iron",70,0.715296074748039,"Jumbled","3Iron"
82,28,"jumbled","iron",74,0.763560175895691,"Jumbled","3Iron"
82,28,"jumbled","iron",38,0.662209331989288,"Jumbled","3Iron"
82,28,"jumbled","iron",19,0.690186142921448,"Jumbled","3Iron"
82,28,"jumbled","iron",20,0.728644371032715,"Jumbled","3Iron"
82,28,"jumbled","iron",10,0.65648889541626,"Jumbled","3Iron"
82,28,"jumbled","iron",63,0.738222390413284,"Jumbled","3Iron"
82,28,"jumbled","iron",41,0.738059878349304,"Jumbled","3Iron"
82,28,"jumbled","iron",62,0.746866911649704,"Jumbled","3Iron"
82,28,"jumbled","iron",49,0.588605090975761,"Jumbled","3Iron"
82,28,"jumbled","iron",46,0.768322885036469,"Jumbled","3Iron"
82,28,"jumbled","iron",45,0.775919616222382,"Jumbled","3Iron"
82,28,"jumbled","iron",59,0.832703530788422,"Jumbled","3Iron"
82,28,"jumbled","iron",60,0.797260582447052,"Jumbled","3Iron"
82,28,"jumbled","iron",61,0.651782110333443,"Jumbled","3Iron"
82,28,"jumbled","iron",43,0.70629671216011,"Jumbled","3Iron"
82,28,"jumbled","iron",62,0.627694696187973,"Jumbled","3Iron"
82,28,"jumbled","iron",41,0.706674546003342,"Jumbled","3Iron"
82,28,"jumbled","iron",11,0.711637586355209,"Jumbled","3Iron"
82,28,"jumbled","iron",12,0.785318434238434,"Jumbled","3Iron"
82,28,"jumbled","iron",55,0.872049927711487,"Jumbled","3Iron"
5,53890,"continuous","iron",61,0.58807148039341,"Uninterrupted","3Iron"
5,53890,"continuous","iron",6,0.65166337788105,"Uninterrupted","3Iron"
5,53890,"continuous","iron",68,0.606647655367851,"Uninterrupted","3Iron"
51,2,"jumbled","iron",19,0.77689528465271,"Jumbled","3Iron"
51,2,"jumbled","iron",58,0.847338080406189,"Jumbled","3Iron"
51,2,"jumbled","iron",37,0.82664543390274,"Jumbled","3Iron"
51,2,"jumbled","iron",38,0.811135232448578,"Jumbled","3Iron"
51,2,"jumbled","iron",59,0.817852795124054,"Jumbled","3Iron"
51,2,"jumbled","iron",60,0.682381600141525,"Jumbled","3Iron"
51,2,"jumbled","iron",42,0.792062401771545,"Jumbled","3Iron"
51,2,"jumbled","iron",46,0.812473297119141,"Jumbled","3Iron"
51,2,"jumbled","iron",45,0.79571545124054,"Jumbled","3Iron"
51,2,"jumbled","iron",46,0.869364261627197,"Jumbled","3Iron"
51,2,"jumbled","iron",47,0.573879547417164,"Jumbled","3Iron"
51,2,"jumbled","iron",68,0.628722995519638,"Jumbled","3Iron"
51,2,"jumbled","iron",69,0.778823792934418,"Jumbled","3Iron"
51,2,"jumbled","iron",22,0.814707010984421,"Jumbled","3Iron"
51,2,"jumbled","iron",63,0.776570945978165,"Jumbled","3Iron"
21,57592,"continuous","iron",1,0.770225912332535,"Uninterrupted","3Iron"
21,57592,"continuous","iron",6,0.779661804437637,"Uninterrupted","3Iron"
21,57592,"continuous","iron",10,0.641881227493286,"Uninterrupted","3Iron"
21,57592,"continuous","iron",35,0.602256506681442,"Uninterrupted","3Iron"
21,57592,"continuous","iron",19,0.677258640527725,"Uninterrupted","3Iron"
21,57592,"continuous","iron",24,0.57835054397583,"Uninterrupted","3Iron"
21,57592,"continuous","iron",25,0.658706724643707,"Uninterrupted","3Iron"
21,57592,"continuous","iron",26,0.714096337556839,"Uninterrupted","3Iron"
21,57592,"continuous","iron",31,0.685731798410416,"Uninterrupted","3Iron"
21,57592,"continuous","iron",44,0.629208505153656,"Uninterrupted","3Iron"
21,57592,"continuous","iron",45,0.825587332248688,"Uninterrupted","3Iron"
21,57592,"continuous","iron",46,0.755275040864944,"Uninterrupted","3Iron"
21,57592,"continuous","iron",47,0.689877912402153,"Uninterrupted","3Iron"
21,57592,"continuous","iron",48,0.696615502238274,"Uninterrupted","3Iron"
21,57592,"continuous","iron",49,0.671412974596024,"Uninterrupted","3Iron"
21,57592,"continuous","iron",51,0.632446870207787,"Uninterrupted","3Iron"
21,57592,"continuous","iron",57,0.572133131325245,"Uninterrupted","3Iron"
21,57592,"continuous","iron",61,0.57409180700779,"Uninterrupted","3Iron"
21,57592,"continuous","iron",63,0.740728884935379,"Uninterrupted","3Iron"
