pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
13,3,Jumbled,3Iron,25,0.670264363,Jumbled
13,3,Jumbled,3Iron,26,0.716559067,Jumbled
13,3,Jumbled,3Iron,29,0.708921194,Jumbled
13,3,Jumbled,3Iron,30,0.800086766,Jumbled
13,3,Jumbled,3Iron,31,0.705678761,Jumbled
13,3,Jumbled,3Iron,36,0.798375964,Jumbled
13,3,Jumbled,3Iron,35,0.827683508,Jumbled
13,3,Jumbled,3Iron,41,0.796611309,Jumbled
13,3,Jumbled,3Iron,42,0.521132085,Jumbled
13,3,Jumbled,3Iron,44,0.645137116,Jumbled
13,3,Jumbled,3Iron,45,0.832560658,Jumbled
13,3,Jumbled,3Iron,46,0.776372254,Jumbled
13,3,Jumbled,3Iron,47,0.603601247,Jumbled
13,3,Jumbled,3Iron,49,0.671395242,Jumbled
13,3,Jumbled,3Iron,50,0.613905169,Jumbled
13,3,Jumbled,3Iron,59,0.615115374,Jumbled
13,3,Jumbled,3Iron,61,0.589761011,Jumbled
13,3,Jumbled,3Iron,55,0.82096222,Jumbled
13,3,Jumbled,3Iron,62,0.717536867,Jumbled
13,3,Jumbled,3Iron,66,0.685387701,Jumbled
13,3,Jumbled,3Iron,67,0.678584695,Jumbled
13,3,Jumbled,3Iron,68,0.516462181,Jumbled
13,3,Jumbled,3Iron,74,0.665641591,Jumbled
63,16,Jumbled,3Iron,1,0.810003132,Jumbled
63,16,Jumbled,3Iron,4,0.709668905,Jumbled
63,16,Jumbled,3Iron,6,0.888827443,Jumbled
63,16,Jumbled,3Iron,10,0.656488895,Jumbled
63,16,Jumbled,3Iron,44,0.654480204,Jumbled
63,16,Jumbled,3Iron,45,0.802785128,Jumbled
63,16,Jumbled,3Iron,46,0.592017911,Jumbled
63,16,Jumbled,3Iron,47,0.590980686,Jumbled
63,16,Jumbled,3Iron,50,0.71737878,Jumbled
63,16,Jumbled,3Iron,51,0.57536941,Jumbled
63,16,Jumbled,3Iron,57,0.616361722,Jumbled
63,16,Jumbled,3Iron,52,0.797985345,Jumbled
63,16,Jumbled,3Iron,62,0.674387917,Jumbled
63,16,Jumbled,3Iron,40,0.551405296,Jumbled
63,16,Jumbled,3Iron,41,0.74443385,Jumbled
63,16,Jumbled,3Iron,39,0.760943294,Jumbled
63,16,Jumbled,3Iron,41,0.641854674,Jumbled
63,16,Jumbled,3Iron,42,0.544972651,Jumbled
63,16,Jumbled,3Iron,43,0.791255772,Jumbled
63,16,Jumbled,3Iron,11,0.713621646,Jumbled
63,16,Jumbled,3Iron,12,0.578716122,Jumbled
63,16,Jumbled,3Iron,15,0.771386385,Jumbled
63,16,Jumbled,3Iron,19,0.806787312,Jumbled
63,16,Jumbled,3Iron,20,0.539838593,Jumbled
63,16,Jumbled,3Iron,19,0.595512792,Jumbled
63,16,Jumbled,3Iron,58,0.674204499,Jumbled
63,16,Jumbled,3Iron,59,0.579063043,Jumbled
63,16,Jumbled,3Iron,61,0.693428099,Jumbled
63,16,Jumbled,3Iron,35,0.71818471,Jumbled
63,16,Jumbled,3Iron,26,0.694831714,Jumbled
63,16,Jumbled,3Iron,30,0.738609716,Jumbled
63,16,Jumbled,3Iron,31,0.766264796,Jumbled
63,16,Jumbled,3Iron,58,0.540295277,Jumbled
63,16,Jumbled,3Iron,69,0.705610871,Jumbled
63,16,Jumbled,3Iron,70,0.630194023,Jumbled
63,16,Jumbled,3Iron,71,0.616573215,Jumbled
63,16,Jumbled,3Iron,72,0.716574624,Jumbled
63,16,Jumbled,3Iron,73,0.81841895,Jumbled
63,16,Jumbled,3Iron,74,0.612526521,Jumbled
82,26,Full,3Iron,1,0.749950051,Uninterrupted
82,26,Full,3Iron,2,0.803161561,Uninterrupted
82,26,Full,3Iron,3,0.691771328,Uninterrupted
82,26,Full,3Iron,4,0.611064389,Uninterrupted
82,26,Full,3Iron,5,0.743584067,Uninterrupted
82,26,Full,3Iron,6,0.774598062,Uninterrupted
82,26,Full,3Iron,7,0.646871597,Uninterrupted
82,26,Full,3Iron,10,0.799635828,Uninterrupted
82,26,Full,3Iron,12,0.713703319,Uninterrupted
82,26,Full,3Iron,13,0.687938422,Uninterrupted
82,26,Full,3Iron,15,0.748495072,Uninterrupted
82,26,Full,3Iron,17,0.749078497,Uninterrupted
82,26,Full,3Iron,19,0.623624861,Uninterrupted
82,26,Full,3Iron,20,0.662020713,Uninterrupted
82,26,Full,3Iron,22,0.584319711,Uninterrupted
82,26,Full,3Iron,23,0.789699554,Uninterrupted
82,26,Full,3Iron,24,0.635922104,Uninterrupted
82,26,Full,3Iron,25,0.66131258,Uninterrupted
82,26,Full,3Iron,26,0.734452456,Uninterrupted
82,26,Full,3Iron,27,0.644529074,Uninterrupted
82,26,Full,3Iron,29,0.605233401,Uninterrupted
82,26,Full,3Iron,31,0.766784966,Uninterrupted
82,26,Full,3Iron,37,0.673176467,Uninterrupted
82,26,Full,3Iron,38,0.48724349,Uninterrupted
82,26,Full,3Iron,32,0.653473303,Uninterrupted
82,26,Full,3Iron,34,0.589804932,Uninterrupted
82,26,Full,3Iron,33,0.690952122,Uninterrupted
82,26,Full,3Iron,35,0.702973902,Uninterrupted
82,26,Full,3Iron,39,0.647847325,Uninterrupted
82,26,Full,3Iron,41,0.851185441,Uninterrupted
82,26,Full,3Iron,42,0.78047356,Uninterrupted
82,26,Full,3Iron,43,0.559798244,Uninterrupted
82,26,Full,3Iron,44,0.652371287,Uninterrupted
82,26,Full,3Iron,45,0.85351336,Uninterrupted
82,26,Full,3Iron,46,0.710555911,Uninterrupted
82,26,Full,3Iron,47,0.572717898,Uninterrupted
82,26,Full,3Iron,49,0.574351817,Uninterrupted
82,26,Full,3Iron,50,0.65389277,Uninterrupted
82,26,Full,3Iron,52,0.551188394,Uninterrupted
82,26,Full,3Iron,55,0.839281052,Uninterrupted
82,26,Full,3Iron,56,0.742436931,Uninterrupted
82,26,Full,3Iron,58,0.73327297,Uninterrupted
82,26,Full,3Iron,59,0.723198339,Uninterrupted
82,26,Full,3Iron,60,0.643922269,Uninterrupted
82,26,Full,3Iron,61,0.675609767,Uninterrupted
82,26,Full,3Iron,62,0.692481533,Uninterrupted
82,26,Full,3Iron,65,0.596515268,Uninterrupted
82,26,Full,3Iron,66,0.740894109,Uninterrupted
82,26,Full,3Iron,67,0.611074612,Uninterrupted
82,26,Full,3Iron,68,0.522870248,Uninterrupted
82,26,Full,3Iron,69,0.808213949,Uninterrupted
82,26,Full,3Iron,70,0.628467202,Uninterrupted
82,26,Full,3Iron,71,0.64986676,Uninterrupted
82,26,Full,3Iron,74,0.598927617,Uninterrupted
5,25,Full,3Iron,2,0.814902663,Uninterrupted
5,25,Full,3Iron,3,0.611609951,Uninterrupted
5,25,Full,3Iron,4,0.658994392,Uninterrupted
5,25,Full,3Iron,5,0.655199587,Uninterrupted
5,25,Full,3Iron,6,0.731100276,Uninterrupted
5,25,Full,3Iron,7,0.741860047,Uninterrupted
5,25,Full,3Iron,10,0.650640815,Uninterrupted
5,25,Full,3Iron,11,0.753580213,Uninterrupted
5,25,Full,3Iron,12,0.605707765,Uninterrupted
5,25,Full,3Iron,17,0.792017967,Uninterrupted
5,25,Full,3Iron,19,0.760519981,Uninterrupted
5,25,Full,3Iron,20,0.640744656,Uninterrupted
5,25,Full,3Iron,22,0.725627363,Uninterrupted
5,25,Full,3Iron,25,0.689331651,Uninterrupted
5,25,Full,3Iron,26,0.684210896,Uninterrupted
5,25,Full,3Iron,6,0.652430505,Uninterrupted
5,25,Full,3Iron,27,0.619464427,Uninterrupted
5,25,Full,3Iron,29,0.62539266,Uninterrupted
5,25,Full,3Iron,30,0.793143868,Uninterrupted
5,25,Full,3Iron,31,0.777006477,Uninterrupted
5,25,Full,3Iron,32,0.653473303,Uninterrupted
5,25,Full,3Iron,35,0.668402195,Uninterrupted
5,25,Full,3Iron,37,0.758384049,Uninterrupted
5,25,Full,3Iron,38,0.652560562,Uninterrupted
5,25,Full,3Iron,39,0.684646145,Uninterrupted
5,25,Full,3Iron,41,0.796773076,Uninterrupted
5,25,Full,3Iron,42,0.738468647,Uninterrupted
5,25,Full,3Iron,43,0.765716702,Uninterrupted
5,25,Full,3Iron,44,0.777986407,Uninterrupted
5,25,Full,3Iron,45,0.862594396,Uninterrupted
5,25,Full,3Iron,46,0.688264906,Uninterrupted
5,25,Full,3Iron,47,0.5739007,Uninterrupted
5,25,Full,3Iron,48,0.715290487,Uninterrupted
5,25,Full,3Iron,49,0.677556708,Uninterrupted
5,25,Full,3Iron,50,0.607946143,Uninterrupted
5,25,Full,3Iron,59,0.856979072,Uninterrupted
5,25,Full,3Iron,60,0.676877856,Uninterrupted
5,25,Full,3Iron,61,0.652420253,Uninterrupted
5,25,Full,3Iron,62,0.734280944,Uninterrupted
5,25,Full,3Iron,55,0.69312644,Uninterrupted
5,25,Full,3Iron,56,0.711812764,Uninterrupted
5,25,Full,3Iron,57,0.668407589,Uninterrupted
5,25,Full,3Iron,63,0.754936993,Uninterrupted
5,25,Full,3Iron,58,0.804578483,Uninterrupted
5,25,Full,3Iron,66,0.773035944,Uninterrupted
51,11,Jumbled,3Iron,6,0.643202871,Jumbled
51,11,Jumbled,3Iron,19,0.746433958,Jumbled
51,11,Jumbled,3Iron,10,0.663574859,Jumbled
51,11,Jumbled,3Iron,31,0.682462215,Jumbled
51,11,Jumbled,3Iron,34,0.637726486,Jumbled
51,11,Jumbled,3Iron,38,0.622601673,Jumbled
51,11,Jumbled,3Iron,42,0.817480922,Jumbled
51,11,Jumbled,3Iron,65,0.548761077,Jumbled
51,11,Jumbled,3Iron,50,0.530748384,Jumbled
51,11,Jumbled,3Iron,52,0.687872067,Jumbled
51,11,Jumbled,3Iron,41,0.683034569,Jumbled
51,11,Jumbled,3Iron,62,0.61964801,Jumbled
51,11,Jumbled,3Iron,66,0.593942508,Jumbled
51,11,Jumbled,3Iron,68,0.545198176,Jumbled
51,11,Jumbled,3Iron,60,0.567130774,Jumbled
51,11,Jumbled,3Iron,70,0.689372301,Jumbled
21,7,Full,3Iron,1,0.813741535,Uninterrupted
21,7,Full,3Iron,2,0.631675079,Uninterrupted
21,7,Full,3Iron,6,0.797716916,Uninterrupted
21,7,Full,3Iron,7,0.564861573,Uninterrupted
21,7,Full,3Iron,8,0.772500813,Uninterrupted
21,7,Full,3Iron,9,0.749742404,Uninterrupted
21,7,Full,3Iron,10,0.748184502,Uninterrupted
21,7,Full,3Iron,12,0.666545868,Uninterrupted
21,7,Full,3Iron,19,0.698430002,Uninterrupted
21,7,Full,3Iron,22,0.615429401,Uninterrupted
21,7,Full,3Iron,23,0.589535348,Uninterrupted
21,7,Full,3Iron,24,0.521717172,Uninterrupted
21,7,Full,3Iron,25,0.587861516,Uninterrupted
21,7,Full,3Iron,26,0.668915123,Uninterrupted
21,7,Full,3Iron,29,0.648427919,Uninterrupted
