"pseudo_subid","exp_subid","exp_cond","mov_name","eventNo","separated","recall","condition","movName"
93,17,"ordered","iron",73,FALSE,0,"Interrupted","3Iron"
93,17,"ordered","iron",74,FALSE,0,"Interrupted","3Iron"
94,66,"continuous","iron",1,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",2,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",3,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",4,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",5,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",6,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",7,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",8,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",9,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",10,TRUE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",11,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",12,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",13,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",14,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",15,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",16,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",17,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",18,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",19,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",20,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",21,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",22,TRUE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",23,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",24,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",25,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",26,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",27,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",28,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",29,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",30,TRUE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",31,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",32,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",33,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",34,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",35,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",36,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",37,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",38,TRUE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",39,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",40,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",41,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",42,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",43,TRUE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",44,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",45,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",46,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",47,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",48,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",49,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",50,TRUE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",51,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",52,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",53,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",54,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",55,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",56,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",57,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",58,TRUE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",59,FALSE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",60,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",61,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",62,TRUE,1,"Uninterrupted","3Iron"
94,66,"continuous","iron",63,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",64,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",65,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",66,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",67,TRUE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",68,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",69,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",70,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",71,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",72,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",73,FALSE,0,"Uninterrupted","3Iron"
94,66,"continuous","iron",74,FALSE,0,"Uninterrupted","3Iron"
1,14,"jumbled","corn",1,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",2,FALSE,1,"Jumbled","Corn"
1,14,"jumbled","corn",3,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",4,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",5,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",6,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",7,TRUE,0,"Jumbled","Corn"
1,14,"jumbled","corn",8,FALSE,1,"Jumbled","Corn"
1,14,"jumbled","corn",9,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",10,FALSE,1,"Jumbled","Corn"
1,14,"jumbled","corn",11,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",12,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",13,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",14,TRUE,0,"Jumbled","Corn"
1,14,"jumbled","corn",15,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",16,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",17,FALSE,0,"Jumbled","Corn"
1,14,"jumbled","corn",18,FALSE,1,"Jumbled","Corn"
