pseudo_subid,exp_cond,exp_subid,movName,temporal_clustering,semantic_clustering,event_condition,condition
83,Jumbled,20,Corn,1,1,separated,Jumbled
20,Ordered,22,Corn,0.909652031,0.710369776,intact,Interrupted
20,Ordered,22,Corn,0.771999908,0.877860169,separated,Interrupted
50,Jumbled,17,Corn,0.735182425,0.698322975,intact,Jumbled
50,Jumbled,17,Corn,0.9921875,1,separated,Jumbled
4,Jumbled,19,Corn,0.637064981,0.699706329,intact,Jumbled
4,Jumbled,19,Corn,0.469354839,0.228225806,separated,Jumbled
62,Jumbled,2,Corn,0.579684676,0.366628464,intact,Jumbled
62,Jumbled,2,Corn,NA,NA,separated,Jumbled
12,Ordered,16,Corn,0.890517737,0.787247641,intact,Interrupted
12,Ordered,16,Corn,0.935823096,0.86020202,separated,Interrupted
77,Ordered,18,Corn,0.881046295,0.625552319,intact,Interrupted
77,Ordered,18,Corn,0.991666667,1,separated,Interrupted
59,Full,4,Corn,0.545366182,0.618150868,intact,Uninterrupted
59,Full,4,Corn,NA,NA,separated,Uninterrupted
29,Ordered,30,Corn,0.889155956,0.538966602,intact,Interrupted
29,Ordered,30,Corn,0.966666667,0.983333333,separated,Interrupted
35,Ordered,32,Corn,0.913105853,0.727419082,intact,Interrupted
35,Ordered,32,Corn,0.990807332,0.847596043,separated,Interrupted
45,Ordered,12,Corn,0.859357597,0.814503784,intact,Interrupted
45,Ordered,12,Corn,0.966666667,0.983333333,separated,Interrupted
96,Jumbled,22,Corn,0.90055729,0.751237538,intact,Jumbled
96,Jumbled,22,Corn,0.721742009,0.649009316,separated,Jumbled
18,Jumbled,26,Corn,0.550170381,0.636200037,intact,Jumbled
18,Jumbled,26,Corn,0.495455709,0.487455197,separated,Jumbled
68,Full,35,Corn,0.903665245,0.765356242,intact,Uninterrupted
68,Full,35,Corn,0.863636364,0.988636364,separated,Uninterrupted
95,Jumbled,12,Corn,0.616809303,0.595194327,intact,Jumbled
95,Jumbled,12,Corn,0.769067797,0.751899474,separated,Jumbled
36,Ordered,10,Corn,0.957209225,0.789842192,intact,Interrupted
36,Ordered,10,Corn,0.84575079,0.777296019,separated,Interrupted
46,Full,12,Corn,0.963759133,0.804774292,intact,Uninterrupted
46,Full,12,Corn,0.962105927,0.542920265,separated,Uninterrupted
89,Full,8,Corn,0.850863995,0.435264278,intact,Uninterrupted
89,Full,8,Corn,NA,NA,separated,Uninterrupted
74,Full,33,Corn,0.931769015,0.695979172,intact,Uninterrupted
74,Full,33,Corn,0.945330113,0.631434035,separated,Uninterrupted
61,Full,10,Corn,0.819663124,0.704456882,intact,Uninterrupted
61,Full,10,Corn,0.854215918,0.685551053,separated,Uninterrupted
11,Jumbled,8,Corn,0.609563361,0.719233133,intact,Jumbled
11,Jumbled,8,Corn,0.6640625,0.21875,separated,Jumbled
23,Jumbled,7,Corn,NA,NA,intact,Jumbled
23,Jumbled,7,Corn,NA,NA,separated,Jumbled
7,Ordered,11,Corn,0.899722465,0.756812098,intact,Interrupted
7,Ordered,11,Corn,0.965876437,0.626325403,separated,Interrupted
53,Ordered,36,Corn,0.900720991,0.626117275,intact,Interrupted
53,Ordered,36,Corn,0.981451306,0.903535354,separated,Interrupted
80,Jumbled,28,Corn,0.791847278,0.747153651,intact,Jumbled
80,Jumbled,28,Corn,NA,NA,separated,Jumbled
14,Jumbled,23,Corn,0.614462543,0.580115539,intact,Jumbled
14,Jumbled,23,Corn,0.992063492,0.761904762,separated,Jumbled
64,Jumbled,15,Corn,0.862122848,0.71464818,intact,Jumbled
64,Jumbled,15,Corn,0.88196337,0.622552784,separated,Jumbled
